1.535561144438004400e+00,1.280187450820555961e+00,1.193658970703254329e+00,1.153428009704410950e+00,1.576225885341280497e+00
8.360678555344068785e-01,1.348648737722389690e+00,8.342700939147990047e-01,1.017649653006190258e+00,1.270140546537885440e+00
9.486327055305405764e-01,9.247480870530393471e-01,8.120573615222587138e-01,2.415373507384951379e-01,7.012403844131662733e-01
1.271401577745111311e+00,7.441975004589687082e-01,1.162370037816042201e+00,9.491218418770627219e-01,1.165251626034104149e+00
1.269470332423976666e+00,1.145387074147336204e+00,6.999973001935776429e-01,1.453175268872936021e+00,6.139264248464803009e-01
1.138715798762214515e+00,1.339743146179413591e+00,1.138854389617869112e+00,1.258589664369866412e+00,1.002432903966132827e+00
1.166323838942394442e+00,1.171380019341172307e+00,1.281302933702381797e+00,7.232399611197263267e-01,7.187808617473869788e-01
1.180709952658914430e+00,1.206468758467562630e+00,8.246949554488589573e-01,1.217754155173122577e+00,8.995811082507979561e-01
1.177862128002219455e+00,1.352501347443901381e+00,6.291739575242133453e-01,9.775944305325726669e-01,1.187854805999434493e+00
1.106247248932074045e+00,7.799847822001071407e-01,8.672666737411093285e-01,1.095464780210295253e+00,1.221588203466065892e+00
8.270650030686080845e-01,1.418587192601802327e+00,1.361191370362314190e+00,1.049738011208374289e+00,1.327258639085145742e+00
1.338873544096889301e+00,1.749739245086110895e+00,1.111229665356992413e+00,1.219011587270600216e+00,1.260667751365876832e+00
8.606477498277761429e-01,9.453157859753105186e-01,1.308027829791557073e+00,1.474748302308177328e+00,9.270841391257024222e-01
7.874893683141125367e-01,6.591805802244088408e-01,1.266256042602545984e+00,1.300098721394516099e+00,1.368048674691150435e+00
9.943665387619947671e-01,1.516904060325956038e+00,6.949967268679824173e-01,8.331444783129157150e-01,1.027242535858001959e+00
1.240388461924281094e+00,1.145141845519471513e+00,8.328658956761062493e-01,1.021525799227921860e+00,8.777873069782859972e-01
7.983910723553299116e-01,1.292661863300079483e+00,1.330832728410966448e+00,1.404187859014387474e+00,9.540026923514605128e-01
9.503790968026554209e-01,1.084473881469251388e+00,1.438098639129085754e+00,1.051397398305538022e+00,1.165844979684545812e+00
8.387083801611512346e-01,1.029398397905859408e+00,7.741953751743878565e-01,7.741261325308874675e-01,1.066673807763804938e+00
9.773442570467342216e-01,1.380640442438067828e+00,1.100562920045569326e+00,1.279821532296872899e+00,1.146640348084263961e+00
1.119129919341770973e+00,8.038285715059025893e-01,9.731561190035517006e-01,1.120701058358146041e+00,1.238148725492487001e+00
6.651999566151421961e-01,4.035193267196134914e-01,8.409974782775377911e-01,7.986247667656027893e-01,1.082916414738642308e+00
1.133330207400587097e+00,7.862676355722338917e-01,1.423779461169952798e+00,9.362439690643399315e-01,8.201190984280299912e-01
1.016978177851152632e+00,8.625050436630216089e-01,1.315062701773876297e+00,1.296138996970330748e+00,9.309123927020630518e-01
8.445611300781646902e-01,8.840518090257205586e-01,1.698464844514756544e+00,1.726925416512608225e+00,1.145261169731847106e+00
9.577556344330637739e-01,1.217884999738345631e+00,7.993314167359580891e-01,5.604239857842099326e-01,1.006682252102961916e+00
